degree distribution (probability density function of the degree in logarithmic bins) 
10.4645	0.120835
12.4931	0.070206
14.8284	0.0701457
17.9789	0.0335692
20.9775	0.0267738
24.3086	0.0207448
28.3833	0.0130821
33.4839	0.0115086
39.3333	0.00711124
45.5897	0.00524687
50	0.000572676

degree distribution (degree-occurrences) 
10	0.113
11	0.098
12	0.073
13	0.071
14	0.07
15	0.058
16	0.041
17	0.036
18	0.025
19	0.034
20	0.028
21	0.035
22	0.026
23	0.027
24	0.018
25	0.02
26	0.016
27	0.019
28	0.014
29	0.012
30	0.015
31	0.01
32	0.009
33	0.011
34	0.012
35	0.013
36	0.007
37	0.006
38	0.009
39	0.01
40	0.008
41	0.008
42	0.004
43	0.007
44	0.008
45	0.006
46	0.005
47	0.002
48	0.008
49	0.003
50	0.005


--------------------------------------
community distribution (size-occurrences)
11	0.025641
12	0.0769231
13	0.0769231
14	0.0769231
15	0.102564
16	0.025641
17	0.025641
19	0.025641
20	0.025641
21	0.025641
22	0.025641
24	0.025641
25	0.025641
28	0.0512821
29	0.025641
32	0.025641
34	0.0512821
36	0.0769231
38	0.025641
41	0.025641
42	0.025641
44	0.025641
45	0.025641
46	0.025641
49	0.025641
50	0.025641


--------------------------------------
mixing parameter
0	0.219
0.0285358	0.011
0.0348012	0.05
0.0446581	0.156
0.0541195	0.165
0.0648947	0.114
0.0743071	0.117
0.0835421	0.059
0.0955861	0.102
0.105263	0.001
0.111111	0.001
0.125	0.001
0.133333	0.001
0.153846	0.001
0.166667	0.001
0.2	0.001

--------------------------------------
